Game Title,Platform,Genre,Year,Units Sold (Millions),Revenue (Million $)
Sky Wars,PS5,Action,2019,7.43,240.02
Robot Rebellion,Switch,Puzzle,2019,1.42,52.13
Sky Wars,PC,Sports,2016,10.56,109.66
Super Racer,Switch,Adventure,2021,21.87,151.63
Dungeon Explorer,Mobile,RPG,2014,0.74,368.5
Fantasy World,PS5,RPG,2022,9.57,69.33
Sky Wars,Xbox,Sports,2010,12.88,123.74
Dungeon Explorer,Mobile,Action,2011,0.96,250.52
Puzzle Master,Switch,Simulation,2018,7.33,105.28
Robot Rebellion,Mobile,RPG,2016,23.65,202.7
Galactic Raiders,PC,Action,2018,18.3,122.13
Super Racer,Mobile,Strategy,2021,17.04,157.51
Mystery Mansion,Mobile,Sports,2020,7.03,491.1
Robot Rebellion,PS5,Action,2019,18.78,266.31
Dungeon Explorer,PS5,RPG,2010,17.34,312.6
Battle Quest,Mobile,Simulation,2015,21.79,246.65
Fantasy World,PC,Action,2018,1.77,102.5
Super Racer,PC,Adventure,2011,24.19,354.91
Fantasy World,Xbox,Simulation,2013,17.81,108.24
Battle Quest,PC,Action,2011,15.97,227.39
Galactic Raiders,Xbox,Shooter,2013,20.82,325.87
Robot Rebellion,Xbox,Action,2023,5.03,375.06
Galactic Raiders,PS5,Simulation,2017,10.12,436.19
Battle Quest,Mobile,Adventure,2022,22.18,352.43
Puzzle Master,Xbox,Sports,2020,4.44,453.56
Super Racer,Mobile,Action,2016,13.98,62.86
Super Racer,Xbox,RPG,2017,6.62,213.46
Mystery Mansion,Xbox,RPG,2016,20.34,357.8
Mystery Mansion,Mobile,Sports,2017,17.3,432.47
Sky Wars,Mobile,Adventure,2017,24.65,403.25
Robot Rebellion,Switch,RPG,2013,19.98,256.68
Robot Rebellion,Switch,Strategy,2019,21.3,473.34
Sky Wars,PS5,Sports,2011,6.72,260.38
Mystery Mansion,PC,Strategy,2013,16.4,400.93
Alien Invasion,PC,RPG,2013,23.56,146.07
Galactic Raiders,Xbox,Action,2011,6.99,74.72
Battle Quest,Switch,Puzzle,2012,20.28,361.08
Alien Invasion,Switch,RPG,2023,16.93,159.23
Dungeon Explorer,PC,Adventure,2020,21.48,134.29
Robot Rebellion,Switch,Action,2016,19.33,375.17
Mystery Mansion,Mobile,Action,2021,20.38,412.98
Puzzle Master,PS5,Puzzle,2018,20.82,456.23
Robot Rebellion,Xbox,Simulation,2012,10.24,101.26
Battle Quest,PC,Simulation,2020,9.37,433.28
Fantasy World,PC,Simulation,2016,20.62,478.86
Super Racer,PS5,Action,2012,4.71,365.69
Dungeon Explorer,Mobile,Strategy,2013,16.97,212.65
Sky Wars,Xbox,Simulation,2011,14.75,114.51
Super Racer,PS5,Action,2014,0.95,146.24
Sky Wars,Xbox,RPG,2023,17.33,102.46
Super Racer,Xbox,Shooter,2017,3.2,65.51
Dungeon Explorer,Xbox,Strategy,2017,11.03,236.39
Fantasy World,PS5,Action,2017,24.1,694.91
Puzzle Master,PS5,Action,2017,21.8,621.11
Sky Wars,PC,RPG,2017,15.37,340.41
Alien Invasion,Xbox,Adventure,2011,21.05,458.98
Battle Quest,PS5,Adventure,2014,8.82,231.77
Puzzle Master,Mobile,Sports,2015,22.17,521.73
Fantasy World,Xbox,Puzzle,2016,24.82,671.87
Sky Wars,Xbox,Adventure,2012,10.38,246.81
Alien Invasion,Mobile,Action,2021,17.62,423.08
Sky Wars,Mobile,Sports,2018,13.76,372.44
Sky Wars,Mobile,Simulation,2018,10.7,258.12
Fantasy World,PS5,Simulation,2012,12.88,376.63
Mystery Mansion,Switch,Strategy,2019,7.26,170.93
Robot Rebellion,PC,Action,2013,17.16,364.73
Mystery Mansion,Mobile,RPG,2019,8.17,238.87
Battle Quest,Xbox,Adventure,2022,22.45,461.16
Galactic Raiders,Xbox,RPG,2023,1.34,27.77
Dungeon Explorer,Mobile,Shooter,2017,0.55,11.98
